date,description,amount,category
2025-09-01,Dl*99 Ride,14.6,
2025-08-30,Pg *99 Ride,10.2,
2025-08-30,Pg *99 Ride,11.9,
2025-08-29,Pg *99 Ride,9,
2025-08-27,Dl*99 Ride,16.35,
2025-08-24,Amazon - Parcela 1/2,24.48,
2025-08-23,Cursor Ai Powered Ide,113.14,
2025-08-22,Amazon - Parcela 1/4,33.13,
2025-08-21,Amazon - Parcela 1/2,39.08,
2025-08-17,Amazonprimebr,19.9,Assinaturas
2025-08-15,Dl*99 Ride,10.3,
2025-08-14,iFood - NuPay,18.23,
2025-08-13,Dl*99 Ride,10.2,
2025-08-12,Paneteriaconfeita,42.19,
2025-08-11,Pizzaria Porto Pirata,120,
2025-08-10,Tempero da Vovo,70.51,
2025-08-09,Dm *Spotify,21.9,Assinaturas
2025-08-08,Pagamento recebido,-1324.24,
2025-08-07,IOF de compra internacional,4.25,

